Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Hf-Mn-S-O,6.641000,6.641000,19.129000,1.000000,88.660000,63.520000,43.140000,43.140000,12.570000,12.570000,76.090000,76.090000,0.720000,0.720000
Hf-Mn-S-Se,6.942000,6.942000,17.505000,1.000000,91.470000,-27.940000,82.930000,82.930000,59.710000,59.710000,31.760000,31.760000,-0.310000,-0.310000
Hf-Mn-S-Te,7.126000,7.126000,16.612000,1.000000,127.150000,28.940000,120.560000,120.560000,49.110000,49.110000,78.040000,78.040000,0.230000,0.230000
Hf-Mn-Te-O,6.290000,6.290000,21.326000,1.000000,67.560000,51.290000,28.630000,28.630000,8.140000,8.140000,59.420000,59.420000,0.760000,0.760000
Hf-Mn-Te-S,6.956000,6.956000,17.434000,1.000000,-40.030000,29.040000,-18.960000,-18.960000,-34.540000,-34.540000,-5.500000,-5.500000,-0.730000,-0.730000
Hf-Mn-Te-Se,7.128000,7.128000,16.603000,1.000000,-9.450000,26.970000,67.520000,67.520000,-18.210000,-18.210000,8.760000,8.760000,-2.850000,-2.850000
Hf-Mo-O-S,6.408000,6.408000,20.543000,1.000000,312.960000,24.270000,311.080000,311.080000,144.350000,144.350000,168.620000,168.620000,0.080000,0.080000
Hf-Mo-O-Se,6.462000,6.462000,20.205000,1.000000,241.920000,85.360000,211.790000,211.790000,78.280000,78.280000,163.640000,163.640000,0.350000,0.350000
Hf-Mo-O-Te,6.616000,6.616000,19.275000,1.000000,215.720000,71.840000,191.790000,191.790000,71.940000,71.940000,143.780000,143.780000,0.330000,0.330000
Hf-Mo-Se-O,6.784000,6.784000,18.332000,1.000000,-30.450000,15.960000,-22.080000,-22.080000,-23.210000,-23.210000,-7.240000,-7.240000,-0.520000,-0.520000
Hf-Mo-Se-S,6.917000,6.917000,17.632000,1.000000,125.210000,46.170000,108.180000,108.180000,39.520000,39.520000,85.690000,85.690000,0.370000,0.370000
Hf-Mo-Se-Te,7.205000,7.205000,16.253000,1.000000,93.330000,52.340000,63.980000,63.980000,20.490000,20.490000,72.830000,72.830000,0.560000,0.560000
Hf-Mo-S-O,6.723000,6.723000,18.664000,1.000000,27.700000,-77.950000,-191.650000,-191.650000,52.830000,52.830000,-25.120000,-25.120000,-2.810000,-2.810000
Hf-Mo-S-Se,6.904000,6.904000,17.700000,1.000000,129.810000,74.210000,87.380000,87.380000,27.800000,27.800000,102.010000,102.010000,0.570000,0.570000
Hf-Mo-S-Te,7.054000,7.054000,16.952000,1.000000,166.890000,39.160000,157.700000,157.700000,63.860000,63.860000,103.020000,103.020000,0.230000,0.230000
